index,prediction,cleaned_index,Label,self_auth,self_class,self_deg,self_betcent,pred_betcent,pred_auth,pred_deg,pred_class,from_textid,emo?
watch_37,"['watch', 'see', 'be', 'make', 'air']",watch,watch,0.000139,4,42,64412.88649,"[64412.886487, 0.0, 0.0, 312533.318522, 0.0]","[0.000139, 0.000593, 0.000283, 0.0008349999999999999, 0.000202]","[42, 172, 47, 265, 15]","[4, 4, 9, 4, 6]",0,
time_40,"['leaves', 'break', 'months', 'bay', 'holidays']",time,time,0.000318,9,10,0,"[-1, 0.0, 0.0, 0.0, -1]","[-1, 0.000789, 8e-06, 0.000355, -1]","[-1, 261, 15, 113, -1]","[-1, 9, 25, 0, -1]",0,
believe_3,"['how', 'the', 'however', 'what', 'so']",believe,believe,7.80E-05,4,36,2490.669771,"[0.0, -1, 86079.18298099999, -1, 2087.67817]","[0.00031600000000000004, -1, 8e-06, -1, 0.015486000000000003]","[30, -1, 7, -1, 222]","[20, -1, 9, -1, 25]",1,
unknown_5,"['this', 'the', 'that', 'my', 'your']",unknown,unknown,6.60E-05,10,8,0,"[-1, -1, 44742.323750999996, -1, -1]","[-1, -1, 0.01506, -1, -1]","[-1, -1, 155, -1, -1]","[-1, -1, 25, -1, -1]",1,
movie_7,"['was', 'is', '...', 'felt']",movie,movie,1.00E-05,24,6,3307.571201,"[-1, -1, -1, -1]","[-1, -1, -1, -1]","[-1, -1, -1, -1]","[-1, -1, -1, -1]",1,
absolutely_12,"['movie', 'story', 'film', 'idea', 'name']",absolutely,,,,,,"[3307.571201, 499.947545, 370281.802647, 0.0, 218314.25143600002]","[1e-05, 0.000131, 1e-05, 0.001485, 0.00064]","[6, 68, 6, 59, 175]","[24, 0, 24, 24, 6]",1,
incredible_13,"['sequence', 'theme', 'story', 'idea', 'scene']",incredible,,,,,,"[0.0, 1664.329068, 499.947545, 0.0, 7379.618922]","[6.9e-05, 2.4e-05, 0.000131, 0.001485, 3e-05]","[76, 19, 68, 59, 8]","[9, 4, 0, 24, 6]",1,
ending_16,"['with', 'to', 'for', 'by', 'in']",ending,ending,0.000365,9,161,0,"[11410.484317, 104792.654085, 0.0, 0.0, 0.0]","[0.000332, 0.000248, 0.000251, 0.000332, 0.006615]","[48, 31, 58, 57, 206]","[9, 19, 14, 9, 8]",1,
stuck_19,"['over', 'almost', 'nearly', 'about', 'another']",stuck,stuck,0.000132,11,8,0,"[6839.869179, 0.0, 0.0, 87425.57836900001, 0.0]","[0.00284, 0.000467, 0.0004730000000000001, 0.000711, 2e-05]","[153, 29, 15, 106, 17]","[9, 9, 9, 9, 9]",1,
years_25,"['on', 'in', 'above', 'over', 'and']",years,,,,,,"[0.0, 0.0, -1, 6839.869179, 10269.734985]","[0.002862, 0.006615, -1, 0.00284, 0.000116]","[199, 206, -1, 153, 10]","[9, 8, -1, 9, 8]",1,
road_28,"['way', 'just', 'also', 'p', 'hole']",road,road,0.000297,9,9,0,"[0.0, 0.0, 0.0, -1, 0.0]","[0.016628, 0.003158, 0.000391, -1, 0.000111]","[266, 168, 33, -1, 91]","[25, 18, 9, -1, 6]",1,
sign_29,"['gives', 'gave', 'takes', 'pulls', 'leads']",sign,sign,4.20E-05,3,7,0,"[-1, 0.0, 0.0, -1, -1]","[-1, 5.600000000000001e-05, 2.1e-05, -1, -1]","[-1, 8, 6, -1, -1]","[-1, 9, 7, -1, -1]",1,
mirror_33,"['you', 'anyone', 'i', 'your', 'they']",mirror,,,,,,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",1,
blew_34,"['read', 'love', 'watch', 'like', 'see']",blew,,,,,,"[35.951423, 57973.51769400001, 64412.886487, 319.952647, 0.0]","[1.1e-05, 0.000218, 0.000139, 0.000739, 0.000593]","[8, 84, 42, 154, 172]","[0, 18, 4, 3, 4]",1,
away_36,"['with', 'against', 'to', 'of', 'from']",away,away,0.00192,9,85,24488.28538,"[11410.484317, 0.683608, 104792.654085, 0.0, 0.0]","[0.000332, 0.000246, 0.000248, 4.7e-05, 9.6e-05]","[48, 13, 31, 6, 11]","[9, 9, 19, 9, 9]",1,
liked_40,"['would', 'might', 'could', 'will', 'should']",liked,,,,,,"[-1, 0.0, -1, -1, -1]","[-1, 4.1e-05, -1, -1, -1]","[-1, 6, -1, -1, -1]","[-1, 4, -1, -1, -1]",1,
RACE_42,"['this', 'the', 'that', 'my', 'our']",race,race,0.000669,6,140,0,"[-1, -1, 44742.323750999996, -1, -1]","[-1, -1, 0.01506, -1, -1]","[-1, -1, 155, -1, -1]","[-1, -1, 25, -1, -1]",1,
proof_9,"['culture', 's', 'life', 'society', 'people']",proof,,,,,,"[0.0, 6955.276503, 0.0, 0.0, 6685.643157]","[7.7e-05, 0.007425, 0.000515, 3.1e-05, 0.000193]","[9, 222, 122, 8, 67]","[9, 3, 3, 3, 3]",2,
Slovenian_11,"['may', 'can', 'might', 'june', 'must']",slovenian,,,,,,"[-1, 0.0, 0.0, -1, -1]","[-1, 0.000348, 4.1e-05, -1, -1]","[-1, 144, 6, -1, -1]","[-1, 4, 4, -1, -1]",2,
films_12,"['and', 'or', '...']",films,,,,,,"[10269.734985, 169919.92729700002, -1]","[0.000116, 0.0021920000000000004, -1]","[10, 97, -1]","[8, 9, -1]",2,
different_19,"['them', 'movies', 'film', 'films', 'you']",different,different,7.80E-05,5,6,10103.08861,"[-1, -1, 370281.802647, -1, -1]","[-1, -1, 1e-05, -1, -1]","[-1, -1, 6, -1, -1]","[-1, -1, 24, -1, -1]",2,
soul_23,"['why', '...', 'it']",soul,soul,0.000716,3,98,0,"[27428.891966000003, -1, -1]","[0.000117, -1, -1]","[13, -1, -1]","[1, -1, -1]",2,
absolutely_3,"['absolutely', 'truly', 'incredibly', 'utterly', 'really']",absolutely,,,,,,"[-1, 4548.720566, 4099.698573, 28944.943912, 149430.113698]","[-1, 0.000721, 0.01506, 0.001846, 0.01523]","[-1, 62, 147, 81, 204]","[-1, 21, 25, 5, 25]",3,
incredible_4,"['stunning', 'beautiful', 'incredible', 'wonderful', 'extraordinary']",incredible,,,,,,"[0.0, 0.0, -1, 996.81163, 0.0]","[0.009306, 0.101401, -1, 0.101722, 0.00025]","[77, 216, -1, 203, 37]","[17, 17, -1, 17, 10]",3,
film_5,"['film', 'documentary', 'movie', 'story']",film,film,1.00E-05,24,6,370281.8026,"[370281.802647, 90309.412815, 3307.571201, 499.947545]","[1e-05, 6.1e-05, 1e-05, 0.000131]","[6, 24, 6, 68]","[24, 24, 24, 0]",3,
shows_8,"['south', 'the', 'north', 'contemporary', 'west']",shows,,,,,,"[-1, -1, -1, 0.0, -1]","[-1, -1, -1, 0.001298, -1]","[-1, -1, -1, 6, -1]","[-1, -1, -1, 8, -1]",3,
South_9,"['african', 'asian', 'american', 'korean', 'indian']",south,,,,,,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",3,
African_10,"['history', 'life', 'atrocities', 'politics', 'genocide']",african,,,,,,"[-1, 0.0, -1, -1, -1]","[-1, 0.000515, -1, -1, -1]","[-1, 122, -1, -1, -1]","[-1, 3, -1, -1, -1]",3,
racism_11,"['from', 'in', 'through', 'on', 'with']",racism,,,,,,"[0.0, 0.0, 0.0, 0.0, 11410.484317]","[9.6e-05, 0.006615, 0.001632, 0.002862, 0.000332]","[11, 206, 81, 199, 48]","[9, 8, 9, 9, 9]",3,
perspective_14,"['of', 'from', 'to', 'by', 'on']",perspective,perspective,8.60E-05,4,19,0,"[0.0, 0.0, 104792.654085, 0.0, 0.0]","[4.7e-05, 9.6e-05, 0.000248, 0.000332, 0.002862]","[6, 11, 31, 57, 199]","[9, 9, 19, 9, 9]",3,
victims_17,"['and', 'which', 'it', 'but', 'that']",victims,,,,,,"[10269.734985, -1, -1, 6263.708295, 44742.323750999996]","[0.000116, -1, -1, 8.6e-05, 0.01506]","[10, -1, -1, 26, 155]","[8, -1, -1, 18, 25]",3,
provokes_20,"['sense', 'feeling', 'kind', 'wave', 'reaction']",provokes,provokes,3.00E-06,7,9,0,"[0.0, 873.8191289999999, 72.213786, 0.0, -1]","[0.000308, 0.00032, 0.000253, 0.001208, -1]","[116, 102, 71, 6, -1]","[4, 3, 3, 6, -1]",3,
feeling_22,"['shame', 'pride', 'guilt', 'despair', 'disgust']",feeling,feeling,0.00032,3,102,873.819129,"[95565.257719, 0.0, 0.0, 5852.14718, -1]","[0.000102, 0.003151, 2.2e-05, 9e-06, -1]","[68, 53, 7, 8, -1]","[22, 17, 22, 11, -1]",3,
anti_24,"['everyone', 'those', 'anyone', 'everybody', 'all']",anti,,,,,,"[-1, -1, -1, -1, 0.0]","[-1, -1, -1, -1, 0.0006259999999999999]","[-1, -1, -1, -1, 90]","[-1, -1, -1, -1, 5]",3,
racism_26,"['sees', 'watches', 'saw', 'watched', 'witnessed']",racism,,,,,,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",3,
sees_30,"['the', 'a', 'my', 'that', 'this']",sees,,,,,,"[-1, -1, -1, 44742.323750999996, -1]","[-1, -1, -1, 0.01506, -1]","[-1, -1, -1, 155, -1]","[-1, -1, -1, 25, -1]",3,
best_36,"['ever', 'yet', 'never', 'just', 'not']",best,best,0.003407,17,75,0,"[0.0, 0.0, -1, 0.0, -1]","[0.015104, 0.00023, -1, 0.003158, -1]","[188, 23, -1, 168, -1]","[25, 9, -1, 18, -1]",3,
historic_37,"['seen', 'made', 'watched', 'done', 'directed']",historic,historic,0.00051,17,31,0,"[-1, 0.0, -1, 0.0, -1]","[-1, 8.9e-05, -1, 0.002634, -1]","[-1, 8, -1, 18, -1]","[-1, 24, -1, 17, -1]",3,
great_4,"['great', 'wonderful', 'fun', 'good', 'beautiful']",great,great,0.10657,17,398,0,"[0.0, 996.81163, 0.0, 0.0, 0.0]","[0.10657, 0.101722, 0.000427, 0.013005, 0.101401]","[398, 203, 113, 398, 216]","[17, 17, 1, 18, 17]",4,
movie_5,"['show', 'thing', 'movie', 'program', 'place']",movie,movie,1.00E-05,24,6,3307.571201,"[0.0, 37456.128994, 3307.571201, 0.0, 0.0]","[0.001388, 0.000816, 1e-05, 8.8e-05, 0.000742]","[133, 172, 6, 75, 237]","[24, 3, 24, 24, 4]",4,
watch_7,"['watch', 'see', 'share', 'play', 'enjoy']",watch,watch,0.000139,4,42,64412.88649,"[64412.886487, 0.0, 0.0, 5875.29845, 0.0]","[0.000139, 0.000593, 5.1e-05, 0.000202, 6.6e-05]","[42, 172, 10, 103, 9]","[4, 4, 6, 24, 4]",4,
young_9,"['my', 'the', 'our', 'your', 'other']",young,,,,,,"[-1, -1, -1, -1, 0.0]","[-1, -1, -1, -1, 0.000288]","[-1, -1, -1, -1, 41]","[-1, -1, -1, -1, 9]",4,
children_10,"['people', 'kids', 'and', 'sters']",children,,,,,,"[6685.643157, -1, 10269.734985, -1]","[0.000193, -1, 0.000116, -1]","[67, -1, 10, -1]","[3, -1, 8, -1]",4,
looking_15,"['an', 'some', 'any', 'another', 'the']",looking,looking,2.90E-05,8,7,17459.18875,"[-1, 0.0, -1, 0.0, -1]","[-1, 0.000237, -1, 2e-05, -1]","[-1, 8, -1, 17, -1]","[-1, 9, -1, 9, -1]",4,
excuse_18,"['watch', 'see', 'repeat', 'play', 'read']",excuse,excuse,6.10E-05,22,7,0,"[64412.886487, 0.0, 129464.15756600001, 5875.29845, 35.951423]","[0.000139, 0.000593, 8.1e-05, 0.000202, 1.1e-05]","[42, 172, 22, 103, 8]","[4, 4, 24, 24, 0]",4,
watch_20,"['over', 'under', 'time', 'on', 'up']",watch,watch,0.000139,4,42,64412.88649,"[6839.869179, 6136.742821, 0.0, 0.0, 0.0]","[0.00284, 9.8e-05, 0.00031800000000000003, 0.002862, 0.016058000000000003]","[153, 32, 10, 199, 634]","[9, 9, 9, 9, 9]",4,
good_28,"['good', 'the', 'great', 'a', 'best']",good,good,0.013005,18,398,0,"[0.0, -1, 0.0, -1, 0.0]","[0.013005, -1, 0.10657, -1, 0.003407]","[398, -1, 398, -1, 75]","[18, -1, 17, -1, 17]",4,
fun_32,"['he', 'she', 'paul', 'anna', 'michael']",fun,fun,0.000427,1,113,0,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",4,
good_37,"['course', 'those', 'all', 'that', 'them']",good,good,0.013005,18,398,0,"[0.0, -1, 0.0, 44742.323750999996, -1]","[0.00085, -1, 0.0006259999999999999, 0.01506, -1]","[93, -1, 90, 155, -1]","[6, -1, 5, 25, -1]",4,
adorable_41,"['best', 'russian', 'american', 'italian', 'winner']",adorable,adorable,0.000121,18,8,107271.8193,"[0.0, -1, -1, -1, -1]","[0.003407, -1, -1, -1, -1]","[75, -1, -1, -1, -1]","[17, -1, -1, -1, -1]",4,
film_1,"['film', 'movie', 'picture', 'story', 'one']",film,film,1.00E-05,24,6,370281.8026,"[370281.802647, 3307.571201, 0.0, 499.947545, 0.0]","[1e-05, 1e-05, 0.000182, 0.000131, 0.000232]","[6, 6, 129, 68, 24]","[24, 24, 24, 0, 10]",5,
best_8,"['in', 'throughout', 'for', 'on', 'with']",best,best,0.003407,17,75,0,"[0.0, 3372.818553, 0.0, 0.0, 11410.484317]","[0.006615, 6.500000000000001e-05, 0.000251, 0.002862, 0.000332]","[206, 31, 58, 199, 48]","[8, 9, 14, 9, 9]",5,
film_12,"['goes', 'is', 'plays', 'says', 'stays']",film,film,1.00E-05,24,6,370281.8026,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",5,
stars_22,"['danny', 'joe', 'tony', 'tommy', 'mike']",stars,,,,,,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",5,
classic_1,"['fun', 'scary', 'funny', 'horror', 'no']",classic,classic,0.101486,17,224,0,"[0.0, 16811.772229, 42958.099068, 567.2911330000001, 0.0]","[0.000427, 0.000427, 0.001755, 8.7e-05, 7.8e-05]","[113, 65, 127, 34, 6]","[1, 11, 10, 1, 19]",6,
plot_2,"['movie', '...', 'horror']",plot,plot,6.50E-05,3,40,0,"[3307.571201, -1, 567.2911330000001]","[1e-05, -1, 8.7e-05]","[6, -1, 34]","[24, -1, 1]",6,
verry_5,"['really', 'very', 'real', 'pretty', 'little']",verry,,,,,,"[149430.113698, 1386.9545269999999, 0.0, 11626.148297, 4296.3050299999995]","[0.01523, 0.016329, 0.015330000000000003, 0.006062, 0.001866]","[204, 254, 200, 132, 162]","[25, 25, 25, 18, 6]",6,
fun_6,"['classic', 'original', 'scary', 'old', 'family']",fun,fun,0.000427,1,113,0,"[0.0, 0.0, 16811.772229, 0.0, 14841.160087]","[0.101486, 0.000416, 0.000427, 0.000349, 0.000282]","[224, 58, 65, 66, 60]","[17, 10, 11, 10, 3]",6,
horror_7,"['fun', 'family', 'little', 'home', 'movie']",horror,horror,8.70E-05,1,34,567.291133,"[0.0, 14841.160087, 4296.3050299999995, 0.0, 3307.571201]","[0.000427, 0.000282, 0.001866, 3.6e-05, 1e-05]","[113, 60, 162, 10, 6]","[1, 3, 6, 3, 24]",6,
movie_8,"['movie', 'story', 'film', 'plot', 'theme']",movie,movie,1.00E-05,24,6,3307.571201,"[3307.571201, 499.947545, 370281.802647, 0.0, 1664.329068]","[1e-05, 0.000131, 1e-05, 6.500000000000001e-05, 2.4e-05]","[6, 68, 6, 40, 19]","[24, 0, 24, 3, 4]",6,
home_10,"['a', 'the', 'your', 'kids', 'my']",home,home,3.60E-05,3,10,0,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",6,
movie_11,"['to', 'movies', 'movie', 'video']",movie,movie,1.00E-05,24,6,3307.571201,"[104792.654085, -1, 3307.571201, -1]","[0.000248, -1, 1e-05, -1]","[31, -1, 6, -1]","[19, -1, 24, -1]",6,
party_12,"['but', 'with', 'and']",party,party,0.000555,3,161,0,"[6263.708295, 11410.484317, 10269.734985]","[8.6e-05, 0.000332, 0.000116]","[26, 48, 10]","[18, 9, 8]",6,
second_17,"['first', 'second', 'third', 'last', 'middle']",second,second,9.60E-05,6,8,0,"[50640.730293, 0.0, -1, 0.0, 0.0]","[0.007847, 9.6e-05, -1, 0.0020800000000000003, 0.0014210000000000002]","[96, 8, -1, 47, 42]","[17, 6, -1, 9, 3]",6,
movie_20,"['movie', 'film', 'story', 'one', 'book']",movie,movie,1.00E-05,24,6,3307.571201,"[3307.571201, 370281.802647, 499.947545, 0.0, 0.0]","[1e-05, 1e-05, 0.000131, 0.000232, 0.002703]","[6, 6, 68, 24, 34]","[24, 24, 0, 10, 3]",6,
proves_21,"['shows', 'proves', 'means', 'says', 'implies']",proves,,,,,,"[-1, -1, 0.0, -1, -1]","[-1, -1, 0.001254, -1, -1]","[-1, -1, 35, -1, -1]","[-1, -1, 3, -1, -1]",6,
fun_27,"['special', 'good', 'real', 'new', 'fun']",fun,fun,0.000427,1,113,0,"[0.0, 0.0, 0.0, 2012.54884, 0.0]","[0.000922, 0.013005, 0.015330000000000003, 0.001431, 0.000427]","[50, 398, 200, 59, 113]","[18, 18, 25, 10, 1]",6,
small_30,"['small', 'big', 'low', 'bigger', 'large']",small,small,0.001452,23,92,0,"[0.0, 114649.50418499998, 39966.124918, -1, 0.0]","[0.001452, 0.010568, 0.005939, -1, 0.0045850000000000005]","[92, 210, 173, -1, 59]","[23, 17, 11, -1, 17]",6,
budget_31,"['movie', 'budget', 'film', 'camera', 'audience']",budget,budget,0.000316,24,63,0,"[3307.571201, 0.0, 370281.802647, -1, -1]","[1e-05, 0.00031600000000000004, 1e-05, -1, -1]","[6, 63, 6, -1, -1]","[24, 24, 24, -1, -1]",6,
hope_34,"['that', 'someday', 'then', 'maybe', 'soon']",hope,,,,,,"[44742.323750999996, -1, 0.0, 0.0, 17816.685776]","[0.01506, -1, 0.000246, 9e-06, 0.001534]","[155, -1, 26, 19, 45]","[25, -1, 9, 21, 8]",6,
director_37,"['will', 'can', 'could', 'would', 'may']",director,,,,,,"[-1, 0.0, -1, -1, -1]","[-1, 0.000348, -1, -1, -1]","[-1, 144, -1, -1, -1]","[-1, 4, -1, -1, -1]",6,
definite_3,"['latest', 'newest', 'best', 'first', 'second']",definite,definite,0.002077,5,100,6774.721766,"[0.0, -1, 0.0, 50640.730293, 0.0]","[0.000168, -1, 0.003407, 0.007847, 9.6e-05]","[52, -1, 75, 96, 8]","[9, -1, 17, 17, 6]",7,
favorite_10,"['to', 'i', 'and', 'but', 'they']",favorite,favorite,0.003044,18,60,159.570598,"[104792.654085, -1, 10269.734985, 6263.708295, -1]","[0.000248, -1, 0.000116, 8.6e-05, -1]","[31, -1, 10, 26, -1]","[19, -1, 8, 18, -1]",7,
rank_13,"['better', 'higher', 'more', 'lower', 'rather']",rank,rank,0.003667,5,220,397377.3306,"[0.0, 0.0, 49383.267132, 0.0, 0.0]","[0.002874, 0.000149, 0.000708, 0.000791, 0.000259]","[86, 16, 61, 167, 27]","[17, 23, 9, 22, 5]",7,
higher_15,"['„', 'beneath', 'under', 'in']",higher,higher,0.000149,23,16,0,"[-1, -1, 6136.742821, 0.0]","[-1, -1, 9.8e-05, 0.006615]","[-1, -1, 32, 206]","[-1, -1, 9, 8]",7,
Breaking_18,"['or', 'and', 'to', 'than']",breaking,breaking,0.00182,9,28,0,"[169919.92729700002, 10269.734985, 104792.654085, -1]","[0.0021920000000000004, 0.000116, 0.000248, -1]","[97, 10, 31, -1]","[9, 8, 19, -1]",7,
waves_20,"['classic', 'epic', 'movie', 'original', 'famous']",waves,,,,,,"[0.0, 26122.066072, 3307.571201, 0.0, 14513.853253]","[0.101486, 0.004684000000000001, 1e-05, 0.000416, 0.100691]","[224, 58, 6, 58, 194]","[17, 17, 24, 10, 17]",7,
latest_24,"['sky', 'night', 'dark', 'world', 'rain']",latest,latest,0.000168,9,52,0,"[-1, 391.929214, 5524.776252000001, 0.0, 33304.848223]","[-1, 3.7e-05, 0.000981, 1.4e-05, 2.8000000000000006e-05]","[-1, 37, 228, 12, 23]","[-1, 11, 11, 3, 6]",7,
simply_33,"['story', 'music', 'script', 'plot', 'writing']",simply,simply,5.80E-05,18,17,0,"[499.947545, -1, -1, 0.0, -1]","[0.000131, -1, -1, 6.500000000000001e-05, -1]","[68, -1, -1, 40, -1]","[0, -1, -1, 3, -1]",7,
love_34,"['is', 'was', 'looks', 'feels', 'seems']",love,love,0.000218,18,84,57973.51769,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",7,
beauty_36,"['the', 'good', 'fine', 'that', 'perfect']",beauty,beauty,0.006111,17,13,0,"[-1, 0.0, 10997.985134999999, 44742.323750999996, 0.0]","[-1, 0.013005, 0.103233, 0.01506, 0.003817]","[-1, 398, 389, 155, 136]","[-1, 18, 17, 25, 5]",7,
picture_39,"['such', 'just', 'like', 'always', 'truly']",picture,picture,0.000182,24,129,0,"[10676.497319, 0.0, 319.952647, 0.0, 4548.720566]","[0.015119, 0.003158, 0.000739, 0.000218, 0.000721]","[181, 168, 154, 43, 62]","[25, 18, 3, 25, 21]",7,
framing_42,"['have', 'see', 'be', 'read', 'hear']",framing,framing,7.00E-06,9,24,0,"[0.0, 0.0, 0.0, 35.951423, 0.0]","[0.00032, 0.000593, 0.000283, 1.1e-05, 4.4e-05]","[110, 172, 47, 8, 10]","[13, 4, 9, 0, 4]",7,
awesome_3,"['great', 'amazing', 'awesome', 'funny', 'wonderful']",awesome,awesome,0.101037,17,201,11436.22522,"[0.0, 0.0, 11436.22522, 42958.099068, 996.81163]","[0.10657, 0.005175, 0.101037, 0.001755, 0.101722]","[398, 11, 201, 127, 203]","[17, 17, 17, 10, 17]",8,
seen_8,"['all', 'live', 'happen', 'over', 'about']",seen,,,,,,"[0.0, 0.0, 0.0, 6839.869179, 87425.57836900001]","[0.0006259999999999999, 0.000118, 0.000165, 0.00284, 0.000711]","[90, 8, 24, 153, 106]","[5, 9, 9, 9, 9]",8,
lacking_18,"['original', 'educational', 'the', 'entertainment', 'narrative']",lacking,lacking,4.00E-05,11,7,26409.22506,"[0.0, -1, -1, -1, 0.0]","[0.000416, -1, -1, -1, 7.900000000000001e-05]","[58, -1, -1, -1, 7]","[10, -1, -1, -1, 0]",8,
educational_20,"['and', 'because', '...']",educational,,,,,,"[10269.734985, -1, -1]","[0.000116, -1, -1]","[10, -1, -1]","[8, -1, -1]",8,
content_21,"['some', 'most', 'many', 'few', 'other']",content,content,0.0001,18,67,45694.90717,"[0.0, 18012.121905, -1, -1, 0.0]","[0.000237, 0.016744, -1, -1, 0.000288]","[8, 203, -1, -1, 41]","[9, 25, -1, -1, 9]",8,
people_24,"['those', 'these', 'that', 'some', 'this']",people,people,0.000193,3,67,6685.643157,"[-1, -1, 44742.323750999996, 0.0, -1]","[-1, -1, 0.01506, 0.000237, -1]","[-1, -1, 155, 8, -1]","[-1, -1, 25, 9, -1]",8,
sort_27,"['things', 'shows', 'stuff', 'content']",sort,sort,0.000625,3,165,0.177981,"[0.0, -1, 0.0, 45694.907172]","[0.000178, -1, 0.000516, 0.0001]","[26, -1, 125, 67]","[3, -1, 3, 18]",8,
movies_29,"['i', 'we', 'they', 'some', 'others']",movies,,,,,,"[-1, -1, -1, 0.0, -1]","[-1, -1, -1, 0.000237, -1]","[-1, -1, -1, 8, -1]","[-1, -1, -1, 9, -1]",8,
think_33,"['really', 'very', 'incredibly', 'genuinely', 'truly']",think,think,5.30E-05,4,28,0,"[149430.113698, 1386.9545269999999, 4099.698573, -1, 4548.720566]","[0.01523, 0.016329, 0.01506, -1, 0.000721]","[204, 254, 147, -1, 62]","[25, 25, 25, -1, 21]",8,
great_36,"['well', 'beautifully', 'nicely', 'perfectly', 'highly']",great,great,0.10657,17,398,0,"[0.0, -1, 0.0, 3093.411105, 1816.335264]","[0.0034, -1, 0.002736, 0.000563, 0.015114]","[135, -1, 33, 54, 176]","[5, -1, 18, 5, 25]",8,
absolutely_1,"['really', 'absolutely', 'just', 'truly', 'always']",absolutely,,,,,,"[149430.113698, -1, 0.0, 4548.720566, 0.0]","[0.01523, -1, 0.003158, 0.000721, 0.000218]","[204, -1, 168, 62, 43]","[25, -1, 18, 21, 25]",9,
